dir,entry,sl,tp,size,bars,open_idx,open_time,buy_p,sell_p,result,pnl,close_idx,close_time,equity
sell,3989.14,3995.690714285714,3980.405714285714,1.7345393653066354,27,29144,2025-11-06 20:35:00,0.64,0.306,tp,15.15,29172,2025-11-06 22:55:00,1151.4
sell,3992.96,3998.7564285714284,3985.2314285714288,1.986390633742082,0,29371,2025-11-07 16:30:00,0.672,0.309,tp,15.35,29372,2025-11-07 16:35:00,1166.75
buy,4085.55,4079.082857142857,4094.1728571428575,1.8041183409969401,2,29588,2025-11-10 11:35:00,0.309,0.655,sl,-11.67,29591,2025-11-10 11:50:00,1155.08
buy,4141.0,4136.7775,4146.63,2.735539640496314,1,29811,2025-11-11 07:10:00,0.409,0.544,sl,-11.55,29813,2025-11-11 07:20:00,1143.53
sell,4113.98,4118.974999999999,4107.32,2.289350945080197,12,29958,2025-11-11 19:25:00,0.347,0.5,tp,15.25,29971,2025-11-11 20:30:00,1158.78
buy,4229.85,4223.4857142857145,4238.335714285715,1.8207508688063234,1,30434,2025-11-13 13:05:00,0.348,0.634,sl,-11.59,30436,2025-11-13 13:15:00,1147.19
buy,4225.45,4218.5542857142855,4234.644285714286,1.6636276505753,8,30437,2025-11-13 13:20:00,0.337,0.53,tp,15.3,30446,2025-11-13 14:05:00,1162.49
buy,4232.39,4221.458214285714,4246.965714285715,1.0633998817233985,1,30468,2025-11-13 15:55:00,0.447,0.33,sl,-11.62,30470,2025-11-13 16:05:00,1150.86
buy,4194.22,4186.923571428572,4203.948571428571,1.577293730292636,3,30645,2025-11-14 07:40:00,0.346,0.582,sl,-11.51,30649,2025-11-14 08:00:00,1139.35
sell,4177.78,4186.738214285714,4165.835714285714,1.2718522425856793,15,30682,2025-11-14 10:45:00,0.7,0.273,tp,15.19,30698,2025-11-14 12:05:00,1154.54
sell,4023.8,4030.1675000000005,4015.31,1.8131823470068815,1,31199,2025-11-18 07:50:00,0.3,0.676,tp,15.39,31201,2025-11-18 08:00:00,1169.94
sell,4015.74,4022.7825,4006.3499999999995,1.661253500295024,11,31201,2025-11-18 08:00:00,0.349,0.62,tp,15.6,31213,2025-11-18 09:00:00,1185.54
buy,4033.77,4026.6492857142857,4043.2642857142855,1.6649129572983936,3,31281,2025-11-18 14:40:00,0.314,0.674,tp,15.81,31285,2025-11-18 15:00:00,1201.34
buy,4044.76,4037.2942857142857,4054.714285714286,1.6091482492911604,6,31285,2025-11-18 15:00:00,0.83,0.154,tp,16.02,31292,2025-11-18 15:35:00,1217.36
buy,4088.07,4082.7975,4095.1000000000004,2.3088895755080694,2,31506,2025-11-19 10:25:00,0.328,0.621,sl,-12.17,31509,2025-11-19 10:40:00,1205.19
buy,4107.24,4099.939285714286,4116.9742857142855,1.6507815005965407,2,31567,2025-11-19 15:30:00,0.316,0.4,tp,16.07,31570,2025-11-19 15:45:00,1221.26
sell,4081.59,4089.7435714285716,4070.7185714285715,1.4978192045990375,2,31628,2025-11-19 20:35:00,0.582,0.337,sl,-12.21,31631,2025-11-19 20:50:00,1209.05
sell,4044.23,4053.4710714285716,4031.9085714285716,1.308338562959836,0,32033,2025-11-21 08:20:00,0.405,0.564,tp,16.12,32034,2025-11-21 08:25:00,1225.17
sell,4058.11,4068.156785714286,4044.714285714286,1.2194602794357543,10,32067,2025-11-21 11:10:00,0.591,0.367,tp,16.34,32078,2025-11-21 12:05:00,1241.5
buy,4066.08,4055.634642857143,4080.0071428571428,1.1885674524709615,10,32146,2025-11-21 17:45:00,0.27,0.675,tp,16.55,32157,2025-11-21 18:40:00,1258.05
buy,4090.35,4085.6153571428567,4096.662857142857,2.657126502691511,3,32451,2025-11-24 20:10:00,0.316,0.673,tp,16.77,32455,2025-11-24 20:30:00,1274.83
buy,4141.75,4135.966428571429,4149.461428571429,2.2042237697172635,5,32592,2025-11-25 08:55:00,0.264,0.71,sl,-12.75,32598,2025-11-25 09:25:00,1262.08
buy,4153.41,4148.353928571429,4160.151428571428,2.4961678130630336,0,32863,2025-11-26 08:30:00,0.645,0.309,sl,-12.62,32864,2025-11-26 08:35:00,1249.46
buy,4157.63,4152.082142857143,4165.027142857143,2.2521478854276857,39,33177,2025-11-27 11:40:00,0.515,0.37,sl,-12.49,33217,2025-11-27 15:00:00,1236.96
